tweet_id,favorites,retweets,user_followers,user_favourites,date_time
892420643555336193,33919,7052,9243705,147113,2017-08-01 16:23:56
892177421306343426,29410,5327,9243705,147113,2017-08-01 00:17:27
891815181378084864,22123,3503,9243705,147113,2017-07-31 00:18:03
891689557279858688,37040,7260,9243705,147113,2017-07-30 15:58:51
891327558926688256,35412,7802,9243705,147113,2017-07-29 16:00:24
891087950875897856,17855,2613,9243705,147113,2017-07-29 00:08:17
890971913173991426,10397,1680,9243705,147113,2017-07-28 16:27:12
890729181411237888,57040,15846,9243705,147113,2017-07-28 00:22:40
890609185150312448,24586,3639,9243705,147113,2017-07-27 16:25:51
890240255349198849,28059,6134,9243705,147113,2017-07-26 15:59:51
890006608113172480,27120,6184,9243705,147113,2017-07-26 00:31:25
889880896479866881,24639,4189,9243705,147113,2017-07-25 16:11:53
889665388333682689,42168,8392,9243705,147113,2017-07-25 01:55:32
889638837579907072,23748,3739,9243705,147113,2017-07-25 00:10:02
889531135344209921,13388,1886,9243705,147113,2017-07-24 17:02:04
889278841981685760,22181,4466,9243705,147113,2017-07-24 00:19:32
888917238123831296,25721,3783,9243705,147113,2017-07-23 00:22:39
888804989199671297,22529,3562,9243705,147113,2017-07-22 16:56:37
888554962724278272,17381,2897,9243705,147113,2017-07-22 00:23:06
888078434458587136,19195,2914,9243705,147113,2017-07-20 16:49:33
887705289381826560,26703,4559,9243705,147113,2017-07-19 16:06:48
887517139158093824,40812,9898,9244109,147113,2017-07-19 03:39:09
887473957103951883,60374,15112,9243705,147113,2017-07-19 00:47:34
887343217045368832,29684,8860,9243705,147113,2017-07-18 16:08:03
887101392804085760,27050,5016,9243705,147113,2017-07-18 00:07:08
886983233522544640,30487,6346,9243705,147113,2017-07-17 16:17:36
886736880519319552,10522,2648,9243705,147113,2017-07-16 23:58:41
886680336477933568,19806,3755,9243705,147113,2017-07-16 20:14:00
886366144734445568,18600,2642,9243705,147113,2017-07-15 23:25:31
886267009285017600,105,4,9243705,147113,2017-07-15 16:51:35
886258384151887873,24594,5316,9243705,147113,2017-07-15 16:17:19
886054160059072513,0,93,9243705,147113,2017-07-15 02:45:48
885984800019947520,28686,5649,9243705,147113,2017-07-14 22:10:11
885528943205470208,31672,5358,9243705,147113,2017-07-13 15:58:47
